Circle,GeneLabel,Ring,Angle,Activity
KMTs,SMYD1,Nucleus,5,6
KMTs,SMYD1,Cytoplasm,5,5
KMTs,SMYD1,Non-histone,5,4
KMTs,SMYD1,Histone,5,3
KMTs,SMYD1,Preclinical,5,2
KMTs,SMYD1,Clinical,5,1
KMTs,SMYD2,Nucleus,13,6
KMTs,SMYD2,Cytoplasm,13,5
KMTs,SMYD2,Non-histone,13,4
KMTs,SMYD2,Histone,13,3
KMTs,SMYD2,Preclinical,13,2
KMTs,SMYD2,Clinical,13,1
KMTs,SMYD3,Nucleus,21,6
KMTs,SMYD3,Cytoplasm,21,5
KMTs,SMYD3,Non-histone,21,4
KMTs,SMYD3,Histone,21,3
KMTs,SMYD3,Preclinical,21,2
KMTs,SMYD3,Clinical,21,1
KMTs,SMYD4,Nucleus,29,6
KMTs,SMYD4,Cytoplasm,29,5
KMTs,SMYD4,Non-histone,29,4
KMTs,SMYD4,Histone,29,3
KMTs,SMYD4,Preclinical,29,2
KMTs,SMYD4,Clinical,29,1
KMTs,SMYD5,Nucleus,37,6
KMTs,SMYD5,Cytoplasm,37,5
KMTs,SMYD5,Non-histone,37,4
KMTs,SMYD5,Histone,37,3
KMTs,SMYD5,Preclinical,37,2
KMTs,SMYD5,Clinical,37,1
KMTs,SUV39H1,Nucleus,45,6
KMTs,SUV39H1,Cytoplasm,45,5
KMTs,SUV39H1,Non-histone,45,4
KMTs,SUV39H1,Histone,45,3
KMTs,SUV39H1,Preclinical,45,2
KMTs,SUV39H1,Clinical,45,1
KMTs,SUV39H2,Nucleus,53,6
KMTs,SUV39H2,Cytoplasm,53,5
KMTs,SUV39H2,Non-histone,53,4
KMTs,SUV39H2,Histone,53,3
KMTs,SUV39H2,Preclinical,53,2
KMTs,SUV39H2,Clinical,53,1
KMTs,SUV420H1,Nucleus,61,6
KMTs,SUV420H1,Cytoplasm,61,5
KMTs,SUV420H1,Non-histone,61,4
KMTs,SUV420H1,Histone,61,3
KMTs,SUV420H1,Preclinical,61,2
KMTs,SUV420H1,Clinical,61,1
KMTs,SUV420H2,Nucleus,69,6
KMTs,SUV420H2,Cytoplasm,69,5
KMTs,SUV420H2,Non-histone,69,4
KMTs,SUV420H2,Histone,69,3
KMTs,SUV420H2,Preclinical,69,2
KMTs,SUV420H2,Clinical,69,1
KMTs,ASH1L,Nucleus,77,6
KMTs,ASH1L,Cytoplasm,77,5
KMTs,ASH1L,Non-histone,77,4
KMTs,ASH1L,Histone,77,3
KMTs,ASH1L,Preclinical,77,2
KMTs,ASH1L,Clinical,77,1
KMTs,CAMKMT,Nucleus,85,6
KMTs,CAMKMT,Cytoplasm,85,5
KMTs,CAMKMT,Non-histone,85,4
KMTs,CAMKMT,Histone,85,3
KMTs,CAMKMT,Preclinical,85,2
KMTs,CAMKMT,Clinical,85,1
KMTs,DOT1L,Nucleus,93,6
KMTs,DOT1L,Cytoplasm,93,5
KMTs,DOT1L,Non-histone,93,4
KMTs,DOT1L,Histone,93,3
KMTs,DOT1L,Preclinical,93,2
KMTs,DOT1L,Clinical,93,1
KMTs,EEF2KMT,Nucleus,101,6
KMTs,EEF2KMT,Cytoplasm,101,5
KMTs,EEF2KMT,Non-histone,101,4
KMTs,EEF2KMT,Histone,101,3
KMTs,EEF2KMT,Preclinical,101,2
KMTs,EEF2KMT,Clinical,101,1
KMTs,ETFBKMT,Nucleus,109,6
KMTs,ETFBKMT,Cytoplasm,109,5
KMTs,ETFBKMT,Non-histone,109,4
KMTs,ETFBKMT,Histone,109,3
KMTs,ETFBKMT,Preclinical,109,2
KMTs,ETFBKMT,Clinical,109,1
KMTs,EZH1,Nucleus,117,6
KMTs,EZH1,Cytoplasm,117,5
KMTs,EZH1,Non-histone,117,4
KMTs,EZH1,Histone,117,3
KMTs,EZH1,Preclinical,117,2
KMTs,EZH1,Clinical,117,1
KMTs,EZH2,Nucleus,125,6
KMTs,EZH2,Cytoplasm,125,5
KMTs,EZH2,Non-histone,125,4
KMTs,EZH2,Histone,125,3
KMTs,EZH2,Preclinical,125,2
KMTs,EZH2,Clinical,125,1
KMTs,G9a,Nucleus,133,6
KMTs,G9a,Cytoplasm,133,5
KMTs,G9a,Non-histone,133,4
KMTs,G9a,Histone,133,3
KMTs,G9a,Preclinical,133,2
KMTs,G9a,Clinical,133,1
KMTs,GLP,Nucleus,141,6
KMTs,GLP,Cytoplasm,141,5
KMTs,GLP,Non-histone,141,4
KMTs,GLP,Histone,141,3
KMTs,GLP,Preclinical,141,2
KMTs,GLP,Clinical,141,1
KMTs,KMT9,Nucleus,149,6
KMTs,KMT9,Cytoplasm,149,5
KMTs,KMT9,Non-histone,149,4
KMTs,KMT9,Histone,149,3
KMTs,KMT9,Preclinical,149,2
KMTs,KMT9,Clinical,149,1
KMTs,METTL21A,Nucleus,157,6
KMTs,METTL21A,Cytoplasm,157,5
KMTs,METTL21A,Non-histone,157,4
KMTs,METTL21A,Histone,157,3
KMTs,METTL21A,Preclinical,157,2
KMTs,METTL21A,Clinical,157,1
KMTs,METTL21B,Nucleus,165,6
KMTs,METTL21B,Cytoplasm,165,5
KMTs,METTL21B,Non-histone,165,4
KMTs,METTL21B,Histone,165,3
KMTs,METTL21B,Preclinical,165,2
KMTs,METTL21B,Clinical,165,1
KMTs,METTL21C,Nucleus,173,6
KMTs,METTL21C,Cytoplasm,173,5
KMTs,METTL21C,Non-histone,173,4
KMTs,METTL21C,Histone,173,3
KMTs,METTL21C,Preclinical,173,2
KMTs,METTL21C,Clinical,173,1
KMTs,METTL21D,Nucleus,181,6
KMTs,METTL21D,Cytoplasm,181,5
KMTs,METTL21D,Non-histone,181,4
KMTs,METTL21D,Histone,181,3
KMTs,METTL21D,Preclinical,181,2
KMTs,METTL21D,Clinical,181,1
KMTs,MLL1,Nucleus,189,6
KMTs,MLL1,Cytoplasm,189,5
KMTs,MLL1,Non-histone,189,4
KMTs,MLL1,Histone,189,3
KMTs,MLL1,Preclinical,189,2
KMTs,MLL1,Clinical,189,1
KMTs,MLL2,Nucleus,197,6
KMTs,MLL2,Cytoplasm,197,5
KMTs,MLL2,Non-histone,197,4
KMTs,MLL2,Histone,197,3
KMTs,MLL2,Preclinical,197,2
KMTs,MLL2,Clinical,197,1
KMTs,MLL3,Nucleus,205,6
KMTs,MLL3,Cytoplasm,205,5
KMTs,MLL3,Non-histone,205,4
KMTs,MLL3,Histone,205,3
KMTs,MLL3,Preclinical,205,2
KMTs,MLL3,Clinical,205,1
KMTs,MLL4,Nucleus,213,6
KMTs,MLL4,Cytoplasm,213,5
KMTs,MLL4,Non-histone,213,4
KMTs,MLL4,Histone,213,3
KMTs,MLL4,Preclinical,213,2
KMTs,MLL4,Clinical,213,1
KMTs,MLL5,Nucleus,221,6
KMTs,MLL5,Cytoplasm,221,5
KMTs,MLL5,Non-histone,221,4
KMTs,MLL5,Histone,221,3
KMTs,MLL5,Preclinical,221,2
KMTs,MLL5,Clinical,221,1
KMTs,NSD1,Nucleus,229,6
KMTs,NSD1,Cytoplasm,229,5
KMTs,NSD1,Non-histone,229,4
KMTs,NSD1,Histone,229,3
KMTs,NSD1,Preclinical,229,2
KMTs,NSD1,Clinical,229,1
KMTs,NSD2,Nucleus,237,6
KMTs,NSD2,Cytoplasm,237,5
KMTs,NSD2,Non-histone,237,4
KMTs,NSD2,Histone,237,3
KMTs,NSD2,Preclinical,237,2
KMTs,NSD2,Clinical,237,1
KMTs,NSD3,Nucleus,245,6
KMTs,NSD3,Cytoplasm,245,5
KMTs,NSD3,Non-histone,245,4
KMTs,NSD3,Histone,245,3
KMTs,NSD3,Preclinical,245,2
KMTs,NSD3,Clinical,245,1
KMTs,PRDM1,Nucleus,253,6
KMTs,PRDM1,Cytoplasm,253,5
KMTs,PRDM1,Non-histone,253,4
KMTs,PRDM1,Histone,253,3
KMTs,PRDM1,Preclinical,253,2
KMTs,PRDM1,Clinical,253,1
KMTs,PRDM2,Nucleus,261,6
KMTs,PRDM2,Cytoplasm,261,5
